Title,Author,SecondAuthor,Times,NumStates,States,Admin,Formal,Informal
The Poet X,"Acevedo, Elizabeth",,21,6,Pennsylvania:1/Texas:2/Virginia:1/Florida:10/Iowa:6/North Carolina:1/,17,4,0
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,10,5,Virginia:1/Florida:5/Iowa:1/Maryland:1/Texas:2/,5,4,1
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,57,8,Florida:6/Iowa:44/North Carolina:1/South Carolina:1/Texas:1/Utah:1/Virginia:1/Wisconsin:2/,53,4,1
Shout,"Anderson, Laurie Halse",,16,5,Wisconsin:1/Florida:3/Iowa:9/Texas:2/Virginia:1/,13,3,1
Speak,"Anderson, Laurie Halse",,42,6,Texas:2/Wisconsin:1/Florida:6/Iowa:31/North Carolina:1/South Carolina:1/,40,2,1
Speak: The Graphic Novel,"Anderson, Laurie Halse",,10,5,Missouri:1/Virginia:2/Wisconsin:1/Florida:4/Iowa:2/,8,2,1
Feed,"Anderson, M. T.",,10,2,Florida:1/Iowa:9/,10,0,0
Me and Earl and the Dying Girl,"Andrews, Jesse",,42,10,Virginia:2/Florida:10/Iowa:18/South Carolina:1/North Carolina:1/Texas:3/Wyoming:1/Georgia:3/Maine:2/Missouri:1/,32,8,2
The Haters,"Andrews, Jesse",,32,10,Florida:9/Maryland:1/Tennessee:1/Texas:5/Virginia:1/Alaska:1/Iowa:10/Utah:1/Wisconsin:2/Wyoming:1/,19,10,1
I Know Why The Caged Bird Sings,"Angelou, Maya",,38,5,Utah:2/Wisconsin:1/Florida:6/Iowa:28/Missouri:1/,35,3,1
Storm and Fury,"Armentrout, Jennifer L.",,13,4,Iowa:2/Texas:1/Utah:1/Florida:9/,5,8,0
Damsel,"Arnold, Elana K.",,36,11,Virginia:3/Wisconsin:1/Maine:1/Pennsylvania:1/South Carolina:1/Tennessee:1/Texas:2/Wyoming:1/Florida:8/Iowa:16/Maryland:1/,26,7,2
Red Hood,"Arnold, Elana K.",,22,8,Texas:2/Alaska:1/Florida:8/Iowa:7/Maryland:1/New York:1/North Carolina:1/Tennessee:1/,15,7,0
What Girls Are Made Of,"Arnold, Elana K.",,27,8,Tennessee:1/Texas:4/Utah:1/Virginia:2/Wisconsin:1/Florida:7/Iowa:10/Maryland:1/,18,5,2
Thirteen Reasons Why,"Asher, Jay",,76,8,Georgia:2/Iowa:60/Missouri:1/North Carolina:1/South Carolina:1/Virginia:2/Wisconsin:2/Florida:7/,70,6,1
Oryx and Crake,"Atwood, Margaret",,19,7,Florida:6/Iowa:6/Maryland:1/North Carolina:1/Texas:3/Virginia:1/Wisconsin:1/,15,5,1
The Handmaid's Tale,"Atwood, Margaret",,67,10,South Carolina:1/Virginia:1/Wisconsin:2/Maryland:1/Missouri:1/Georgia:1/Iowa:45/Texas:3/Alaska:1/Florida:11/,58,7,2
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,24,8,Wyoming:1/Alaska:1/Florida:7/Idaho:1/Iowa:9/Pennsylvania:1/Tennessee:1/Texas:3/,17,6,0
Fun Home: A Family Tragicomic,"Bechdel, Alison",,10,6,Florida:4/Illinois:1/Iowa:2/Tennessee:1/Texas:1/Wisconsin:1/,6,4,1
"Friday Night Lights: A Town, A Team, and a Dream","Bissinger, H.G.",,11,2,Florida:1/Iowa:10/,11,0,0
Forever...,"Blume, Judy",,38,9,Iowa:19/South Carolina:1/Virginia:1/Alaska:1/Maine:1/Maryland:1/Texas:3/Utah:1/Florida:10/,30,7,1
Ready or Not,"Cabot, Meg",,11,2,Florida:2/Iowa:9/,11,0,0
This Is Kind of an Epic Love Story,"Callender, Kacen",,10,5,Florida:4/Iowa:2/Oregon:1/Texas:2/Utah:1/,3,6,1
Chosen,"Cast, P. C.","Cast, Kristin",13,4,Iowa:3/Texas:1/Virginia:1/Florida:8/,8,5,0
The Perks of Being a Wallflower,"Chbosky, Stephen",,85,12,Alaska:1/Iowa:55/Pennsylvania:2/Virginia:1/Wisconsin:3/Wyoming:1/Florida:13/Georgia:2/Maryland:1/North Carolina:1/South Carolina:1/Texas:4/,72,11,2
Ready Player One,"Cline, Ernest",,10,3,Wisconsin:1/Florida:7/Iowa:2/,9,1,1
Flamer,"Curato, Mike",,22,9,Georgia:3/Iowa:7/Louisiana:1/Texas:3/Wisconsin:1/Wyoming:1/Alaska:1/Florida:4/Tennessee:1/,17,3,3
A Stolen Life,"Dugard, Jaycee",,28,8,Utah:2/Wyoming:1/Florida:5/Idaho:1/Iowa:16/Maine:1/Maryland:1/Texas:1/,20,8,0
Killing Mr. Griffin,"Duncan, Lois",,10,3,Wisconsin:1/Florida:2/Iowa:7/,10,0,1
Perfect Chemistry,"Elkeles, Simone",,11,4,Florida:6/Iowa:2/North Carolina:1/Texas:2/,6,3,1
Pet,"Emezi, Akwaeke",,11,4,Iowa:6/Kentucky:1/Wisconsin:1/Florida:3/,9,2,1
Lawn Boy (JE),"Evison, Jonathan",,12,3,Texas:1/Florida:1/Iowa:10/,11,1,0
As I Lay Dying,"Faulkner, William",,10,2,Florida:1/Iowa:9/,10,0,0
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,21,8,Florida:6/Iowa:8/Missouri:1/North Carolina:1/Texas:1/Wisconsin:2/Wyoming:1/Alaska:1/,15,5,1
The Carnival at Bray,"Foley, Jessie Ann",,28,9,Florida:7/Iowa:12/Virginia:1/Alaska:1/Maryland:1/Missouri:1/South Carolina:1/Texas:2/Wisconsin:2/,21,6,1
Dime,"Frank, E. R.",,15,6,Pennsylvania:1/Texas:2/Utah:1/Virginia:2/Wisconsin:1/Florida:8/,7,4,3
Life is Funny,"Frank, E. R.",,19,6,Florida:8/Iowa:7/Tennessee:1/Texas:1/Utah:1/Virginia:1/,13,5,0
Lily and Dunkin,"Gephart, Donna",,10,3,Florida:1/Iowa:8/Wisconsin:1/,9,1,1
Melissa (George),"Gino, Alex",,17,4,Wisconsin:1/Florida:4/Iowa:11/Texas:1/,15,2,1
Looking for Alaska,"Green, John",,97,12,Maryland:1/Missouri:1/North Carolina:1/South Carolina:1/Texas:3/Virginia:1/Florida:8/Iowa:76/Wyoming:1/Wisconsin:2/California:1/Pennsylvania:1/,91,4,2
Paper Towns,"Green, John",,14,3,Wisconsin:1/Florida:5/Iowa:8/,11,2,1
The Fault in Our Stars,"Green, John",,28,3,Florida:3/Iowa:24/Wisconsin:1/,28,0,1
Ordinary Hazards,"Grimes, Nikki",,17,1,Iowa:17/,17,0,0
Water for Elephants,"Gruen, Sara",,66,10,South Carolina:1/Texas:3/Wisconsin:1/Wyoming:1/Idaho:1/Maryland:1/North Carolina:1/Alaska:1/Florida:14/Iowa:42/,53,10,2
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,20,9,Texas:3/Virginia:1/Wisconsin:1/Iowa:2/Maryland:1/South Carolina:1/Utah:1/Alaska:1/Florida:9/,8,10,2
Homegoing,"Gyasi, Yaa",,18,9,Alaska:1/Maryland:1/Texas:2/Wisconsin:1/Wyoming:1/Florida:6/Iowa:3/Utah:1/Virginia:2/,6,9,1
It Ends With Us,"Hoover, Colleen",,19,8,Florida:2/Georgia:2/Iowa:10/Maine:1/Maryland:1/New York:1/Texas:1/Alaska:1/,15,4,0
It Starts With Us,"Hoover, Colleen",,11,2,Florida:2/Iowa:9/,11,0,0
Regretting You,"Hoover, Colleen",,14,3,Florida:2/Iowa:11/Texas:1/,13,1,0
Burned (EH),"Hopkins, Ellen",,24,5,Florida:10/Iowa:11/South Carolina:1/Texas:1/Wisconsin:1/,19,5,1
Crank,"Hopkins, Ellen",,76,13,Tennessee:1/Wisconsin:2/Florida:9/Iowa:49/Maine:1/Maryland:1/South Carolina:1/Texas:5/Virginia:2/Alaska:1/Georgia:1/Missouri:1/North Carolina:2/,68,8,2
Fallout,"Hopkins, Ellen",,32,7,Virginia:1/Florida:14/Iowa:12/Maine:1/North Carolina:1/Tennessee:1/Texas:2/,25,5,0
Glass,"Hopkins, Ellen",,25,8,Florida:10/Iowa:9/Maine:1/Missouri:1/North Carolina:1/Texas:1/Virginia:1/Wisconsin:1/,21,4,1
Identical,"Hopkins, Ellen",,74,13,Florida:10/Maryland:1/South Carolina:1/Tennessee:1/Texas:5/Alaska:1/Georgia:1/Iowa:47/Missouri:1/North Carolina:1/Pennsylvania:2/Virginia:1/Wisconsin:2/,63,9,3
Impulse,"Hopkins, Ellen",,28,8,Texas:3/Virginia:1/Wisconsin:1/Florida:10/Iowa:10/North Carolina:1/South Carolina:1/Tennessee:1/,25,3,2
People Kill People,"Hopkins, Ellen",,23,10,Florida:7/Maryland:1/Texas:2/Virginia:1/South Carolina:1/Tennessee:1/Iowa:7/Maine:1/New York:1/North Carolina:1/,14,9,0
Perfect (EH),"Hopkins, Ellen",,47,8,Texas:2/Virginia:1/Alaska:1/Florida:5/Iowa:35/Maine:1/Maryland:1/South Carolina:1/,41,5,0
Rumble,"Hopkins, Ellen",,13,7,Virginia:1/Wisconsin:1/Florida:2/Iowa:5/Maine:1/North Carolina:1/Texas:2/,10,2,2
Smoke,"Hopkins, Ellen",,19,6,Florida:7/Iowa:8/Maine:1/Texas:1/Virginia:1/Wisconsin:1/,15,4,1
The You I've Never Known,"Hopkins, Ellen",,10,7,Virginia:1/Florida:2/Iowa:3/Maine:1/Missouri:1/North Carolina:1/Texas:1/,8,1,1
Tilt (EH),"Hopkins, Ellen",,46,11,Alaska:1/Florida:9/Maryland:1/Wisconsin:1/Virginia:1/Iowa:27/Maine:1/Missouri:1/North Carolina:1/Tennessee:1/Texas:2/,38,7,2
Traffick,"Hopkins, Ellen",,21,5,Iowa:11/Maine:1/Tennessee:1/Texas:2/Florida:6/,16,5,0
Tricks,"Hopkins, Ellen",,66,12,Virginia:2/Wyoming:2/Alaska:1/Georgia:1/Iowa:44/Maryland:1/North Carolina:2/Florida:6/Maine:1/South Carolina:1/Texas:2/Wisconsin:3/,55,9,3
The Kite Runner,"Hosseini, Khaled",,73,10,Alaska:1/Missouri:1/North Carolina:1/Texas:1/Wisconsin:3/Florida:10/Iowa:53/Maine:1/Maryland:1/South Carolina:1/,63,10,1
Their Eyes Were Watching God,"Hurston, Zora Neale",,16,2,Florida:2/Iowa:14/,16,0,0
We Are the Ants,"Hutchinson, Shaun David",,13,6,Florida:4/Iowa:5/Tennessee:1/Texas:1/Virginia:1/Wisconsin:1/,11,2,1
Brave New World,"Huxley, Aldous",,32,4,Iowa:26/Texas:1/Wisconsin:1/Florida:4/,32,0,1
Allegedly,"Jackson, Tiffany D.",,10,5,Texas:2/Wisconsin:1/Florida:5/Iowa:1/South Carolina:1/,6,2,2
Grown,"Jackson, Tiffany D.",,17,7,Florida:4/Iowa:7/Missouri:1/South Carolina:1/Texas:2/Virginia:1/Wisconsin:1/,16,0,2
Monday's Not Coming,"Jackson, Tiffany D.",,31,9,Texas:1/Wyoming:1/Florida:5/Iowa:16/South Carolina:2/Virginia:2/Alaska:1/Georgia:1/North Carolina:2/,26,4,1
All Boys Aren't Blue,"Johnson, George M.",,36,10,Georgia:2/Iowa:17/Maryland:1/New York:1/Florida:7/Missouri:1/Pennsylvania:1/Texas:3/Virginia:1/Wisconsin:2/,27,7,3
Milk and Honey,"Kaur, Rupi",,25,8,Maryland:1/Texas:2/Virginia:1/Florida:5/Georgia:1/Idaho:1/Iowa:13/Maine:1/,22,3,0
The Sun and Her Flowers,"Kaur, Rupi",,22,10,Iowa:9/Maryland:1/Virginia:1/Wyoming:1/Florida:4/North Carolina:1/Texas:2/Utah:1/Wisconsin:1/Idaho:1/,16,6,0
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,19,8,Maryland:1/Missouri:1/Texas:2/Virginia:1/Wisconsin:2/Alaska:1/Florida:5/Iowa:6/,11,5,2
It,"King, Stephen",,19,3,Iowa:14/Florida:4/Georgia:1/,17,2,0
Gender Queer: A Memoir,"Kobabe, Maia",,20,8,Wisconsin:1/Wyoming:1/Florida:2/Georgia:1/Iowa:12/Pennsylvania:1/Texas:1/Utah:1/,17,1,1
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,30,7,Georgia:2/Iowa:13/Ohio:1/South Carolina:1/Texas:2/Wisconsin:1/Florida:10/,21,7,1
The Girl with the Dragon Tattoo,"Larsson, Stieg",,12,5,Wisconsin:1/Florida:2/Iowa:7/Maine:1/Virginia:1/,11,1,1
Last Night at the Telegraph Club,"Lo, Malinda",,35,8,Pennsylvania:1/Texas:2/Virginia:1/Wisconsin:2/Alaska:1/Florida:7/Iowa:20/Maryland:1/,28,6,2
Boy Toy,"Lyga, Barry",,22,6,Texas:4/Wisconsin:2/Florida:8/Iowa:6/Maine:1/North Carolina:1/,14,8,1
A Court of Frost and Starlight,"Maas, Sarah J.",,50,12,Alaska:1/Iowa:30/North Carolina:2/South Carolina:2/Tennessee:1/Texas:2/Florida:5/Georgia:1/Maine:1/Maryland:1/Virginia:1/Wisconsin:3/,43,6,2
A Court of Mist and Fury,"Maas, Sarah J.",,60,12,Tennessee:1/Texas:3/Wyoming:1/Alaska:1/Iowa:40/Maine:1/North Carolina:2/South Carolina:2/Wisconsin:3/Florida:4/Georgia:1/Maryland:1/,54,6,2
A ​Court of Silver Flames,"Maas, Sarah J.",,40,10,South Carolina:2/Texas:2/Wisconsin:2/Iowa:23/Maine:1/Maryland:1/Tennessee:1/Alaska:1/Florida:6/North Carolina:1/,34,5,1
A Court of Thorns and Roses,"Maas, Sarah J.",,62,14,Alaska:1/South Carolina:2/Tennessee:1/Wyoming:1/Florida:7/Iowa:37/Maine:1/North Carolina:2/Georgia:1/Maryland:1/Wisconsin:3/Missouri:1/Texas:3/Virginia:1/,52,9,2
A Court of Wings and Ruin,"Maas, Sarah J.",,58,13,Texas:2/Wisconsin:3/Florida:7/Georgia:1/Iowa:37/Maryland:1/North Carolina:1/Tennessee:1/Alaska:1/Maine:1/South Carolina:1/Virginia:1/Wyoming:1/,50,7,2
Crown of Midnight,"Maas, Sarah J.",,14,7,Iowa:6/Maine:1/Missouri:1/South Carolina:1/Texas:1/Wisconsin:1/Florida:3/,12,2,1
Empire of Storms,"Maas, Sarah J.",,61,12,Maine:1/Maryland:2/North Carolina:1/South Carolina:1/Tennessee:1/Texas:3/Virginia:1/Idaho:1/Florida:8/Iowa:39/Wisconsin:2/Alaska:1/,50,11,1
Heir of Fire,"Maas, Sarah J.",,12,6,Florida:2/Iowa:6/Maine:1/Missouri:1/South Carolina:1/Wisconsin:1/,11,1,1
House of Earth and Blood,"Maas, Sarah J.",,14,9,Iowa:2/Maine:1/Virginia:1/Florida:4/Maryland:1/Pennsylvania:1/Tennessee:1/Texas:2/Utah:1/,9,5,1
Kingdom of Ash,"Maas, Sarah J.",,41,11,Florida:6/Virginia:1/Alaska:1/Iowa:23/Maine:1/Maryland:1/South Carolina:1/Tennessee:1/Texas:3/Wisconsin:2/Idaho:1/,32,8,2
Queen of Shadows,"Maas, Sarah J.",,16,4,Florida:6/Iowa:8/Missouri:1/Wisconsin:1/,12,4,1
Throne of Glass,"Maas, Sarah J.",,12,6,Missouri:1/Texas:1/Wisconsin:1/Florida:2/Iowa:6/Maine:1/,12,0,1
Tower of Dawn,"Maas, Sarah J.",,23,6,Maine:1/South Carolina:1/Virginia:1/Wisconsin:1/Florida:4/Iowa:15/,22,1,1
Unravel Me,"Mafi, Tahereh",,10,3,Florida:5/Iowa:4/Wisconsin:1/,6,3,1
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,32,11,Maryland:1/Missouri:1/Wisconsin:2/Virginia:1/Wyoming:1/Alaska:1/Florida:7/Idaho:1/Iowa:14/North Carolina:1/Texas:2/,21,10,1
A Clash of Kings,"Martin, George R. R.",,19,7,Utah:1/Wisconsin:1/Florida:8/Iowa:6/Maryland:1/North Carolina:1/Texas:1/,11,7,1
A Game of Thrones,"Martin, George R. R.",,16,4,Iowa:9/Texas:1/Utah:1/Florida:5/,14,2,0
The Truth About Alice: A Novel,"Mathieu, Jennifer",,13,5,Florida:7/Iowa:3/South Carolina:1/Texas:1/Wisconsin:1/,7,4,2
Man o' War,"McCarthy, Cory",,10,5,Florida:5/Maryland:1/Texas:2/Utah:1/Virginia:1/,3,5,1
Sold,"McCormick, Patricia",,85,13,Maryland:1/Minnesota:1/Missouri:1/North Carolina:1/Pennsylvania:1/Texas:3/Alaska:1/Florida:9/Wisconsin:2/South Carolina:1/Virginia:1/Iowa:62/Maine:1/,75,8,3
The Female of the Species,"McGinnis, Mindy",,24,5,Florida:3/Iowa:18/Missouri:1/Texas:1/Wisconsin:1/,22,0,2
Fade,"McMann, Lisa",,16,5,Florida:6/Iowa:5/Missouri:1/Texas:3/Virginia:1/,11,4,1
"Red, White, and Royal Blue","McQuiston, Casey",,24,6,Virginia:1/Alaska:1/Florida:3/Georgia:1/Iowa:17/Tennessee:1/,21,3,0
Breaking Dawn,"Meyer, Stephenie",,20,2,Florida:2/Iowa:18/,19,1,0
All the Things We Do in the Dark,"Mitchell, Saundra",,15,8,Iowa:2/Kentucky:1/Maryland:1/Missouri:1/South Carolina:1/Texas:2/Virginia:2/Florida:5/,8,4,2
Beloved,"Morrison, Toni",,41,4,Iowa:31/Texas:1/Wisconsin:2/Florida:7/,37,3,1
Song of Solomon,"Morrison, Toni",,18,3,Florida:5/Iowa:12/Virginia:1/,15,3,0
The Bluest Eye,"Morrison, Toni",,52,11,Maryland:1/Missouri:1/Pennsylvania:1/Wisconsin:3/Alaska:1/Iowa:30/North Carolina:2/South Carolina:2/Texas:3/Virginia:1/Florida:7/,39,10,3
"l8r, g8r","Myracle, Lauren",,17,8,Missouri:1/South Carolina:1/Texas:1/Wisconsin:2/Wyoming:1/Alaska:1/Florida:4/Iowa:6/,14,2,1
Shine,"Myracle, Lauren",,33,8,Iowa:13/Maryland:1/Missouri:1/Texas:3/Virginia:3/Wisconsin:2/Alaska:1/Florida:9/,18,11,4
The Infinite Moment of Us,"Myracle, Lauren",,23,6,Florida:4/Georgia:1/Indiana:1/Iowa:14/Texas:2/Virginia:1/,19,3,1
yolo,"Myracle, Lauren",,12,5,Alaska:1/Florida:3/Iowa:5/Texas:2/Virginia:1/,9,2,1
Like a Love Story,"Nazemian, Abdi",,21,7,Tennessee:1/Texas:3/Utah:1/Virginia:1/Florida:4/Iowa:10/Maryland:1/,16,4,1
All the Bright Places,"Niven, Jennifer",,11,3,Florida:4/Iowa:6/Wisconsin:1/,9,2,1
Breathless (JN),"Niven, Jennifer",,32,11,Maine:1/Texas:2/Wisconsin:1/Wyoming:1/Alaska:1/Iowa:17/Maryland:1/North Carolina:1/Tennessee:1/Virginia:1/Florida:5/,26,5,1
1984,"Orwell, George",,10,1,Iowa:10/,10,0,0
Where the Crawdads Sing,"Owens, Delia",,22,4,Texas:1/Wisconsin:1/Florida:5/Iowa:15/,22,0,1
Out of Darkness,"Pérez, Ashley Hope",,40,9,South Carolina:1/Virginia:2/Florida:4/Pennsylvania:1/Missouri:1/North Carolina:1/Texas:1/Georgia:1/Iowa:28/,37,1,1
My Sister's Keeper,"Picoult, Jodi",,12,3,Texas:1/Florida:3/Iowa:8/,12,0,0
Nineteen Minutes,"Picoult, Jodi",,98,11,Alaska:1/Pennsylvania:1/Texas:3/Virginia:1/Wisconsin:3/South Carolina:1/Florida:8/Iowa:76/Maryland:1/Missouri:1/North Carolina:2/,87,10,2
The Nowhere Girls,"Reed, Amy",,24,7,Florida:6/Idaho:1/Iowa:11/North Carolina:1/Texas:2/Virginia:2/Wyoming:1/,18,3,2
Juliet Takes a Breath,"Rivera, Gabby",,15,8,Florida:5/Georgia:1/Iowa:2/Maine:1/Maryland:1/Missouri:1/Texas:3/Virginia:1/,9,4,2
Eleanor and Park,"Rowell, Rainbow",,20,7,Wisconsin:1/Florida:10/Iowa:4/Missouri:1/North Carolina:1/South Carolina:1/Texas:2/,13,6,1
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,41,7,Virginia:1/Wisconsin:1/Florida:5/Iowa:31/North Carolina:1/South Carolina:1/Texas:1/,40,1,1
Push,Sapphire,,19,5,Wisconsin:1/Florida:5/Iowa:9/North Carolina:1/Texas:3/,15,5,1
Jesus Land: A Memoir,"Scheeres, Julia",,13,6,Iowa:4/New York:1/Texas:1/Virginia:1/Wisconsin:1/Florida:5/,9,3,0
Living Dead Girl,"Scott, Elizabeth",,42,9,South Carolina:1/Utah:1/Wyoming:1/North Carolina:1/Florida:6/Iowa:28/Texas:2/Wisconsin:1/Alaska:1/,35,6,0
Lucky (AS),"Sebold, Alice",,48,11,Maryland:2/Missouri:1/Pennsylvania:1/Texas:4/Wyoming:1/Florida:11/Iowa:23/Maine:1/Alaska:1/Georgia:2/Wisconsin:1/,34,12,2
The Almost Moon,"Sebold, Alice",,13,3,Florida:9/Iowa:2/Texas:2/,4,9,0
The Lovely Bones,"Sebold, Alice",,25,6,Iowa:11/South Carolina:1/Texas:4/Wisconsin:1/Alaska:1/Florida:7/,19,6,2
More Happy Than Not,"Silvera, Adam",,10,6,Iowa:1/Texas:1/Virginia:1/Wisconsin:2/Florida:4/Georgia:1/,5,3,3
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,11,4,Wisconsin:1/Florida:3/Iowa:6/South Carolina:1/,10,1,1
Go Ask Alice,"Sparks, Beatrice",Anonymous,15,4,Florida:5/Iowa:8/Missouri:1/Texas:1/,13,1,0
The Art of Racing in the Rain,"Stein, Garth",,14,6,Texas:1/Virginia:2/Wisconsin:1/Florida:6/Iowa:3/Maine:1/,9,4,1
This One Summer,"Tamaki, Mariko",,11,6,Florida:3/Iowa:3/South Carolina:1/Texas:2/Wisconsin:1/Alaska:1/,9,2,1
Drama: A Graphic Novel,"Telgemeier, Raina",,30,6,Alaska:1/Florida:8/Iowa:17/Kentucky:1/Texas:1/Wisconsin:2/,22,6,1
Concrete Rose,"Thomas, Angie",,13,3,Florida:6/Iowa:6/Wisconsin:1/,8,3,1
The Hate U Give,"Thomas, Angie",,40,7,Florida:6/Georgia:1/Iowa:29/Missouri:1/South Carolina:1/Texas:1/Wisconsin:1/,36,4,1
Blankets,"Thompson, Craig",,17,8,Maryland:1/Texas:2/Utah:2/Wisconsin:1/Wyoming:1/Florida:4/Georgia:3/Iowa:3/,12,5,1
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,37,11,South Carolina:1/Utah:1/Virginia:1/Wisconsin:1/Alaska:1/Florida:9/Maryland:1/Missouri:1/Iowa:17/Maine:1/Texas:3/,28,8,1
The Color Purple,"Walker, Alice",,51,5,Texas:1/Wisconsin:1/Florida:5/Iowa:43/Missouri:1/,50,1,1
The Glass Castle,"Walls, Jeannette",,14,4,Iowa:10/Texas:1/Virginia:1/Florida:2/,14,0,0
Native Son,"Wright, Richard",,20,3,Wisconsin:1/Florida:4/Iowa:15/,18,2,1
"Everything, Everything","Yoon, Nicola",,13,3,Iowa:9/Florida:3/Texas:1/,13,0,0